match_id,region,game_creation,game_version,queue_id,team_id,side,win,gold_15,damage_dealt,kills,wards_placed,match_duration_min,damage_per_min
EUW1_7087470402,EUW,1724267185556,14.16.609.8277,420,200,red,0,4702.6,66408.0,14,42,22.416666666666668,2962.438661710037
EUW1_7087557564,EUW,1724270483089,14.16.609.8277,420,100,blue,0,5336.0,74844.0,18,48,24.9,3005.783132530121
EUW1_7087557564,EUW,1724270483089,14.16.609.8277,420,200,red,1,5099.6,79051.0,26,57,24.9,3174.7389558232935
EUW1_7087614707,EUW,1724273079492,14.16.609.8277,420,100,blue,0,5002.6,95298.0,24,65,31.1,3064.2443729903534
EUW1_7087614707,EUW,1724273079492,14.16.609.8277,420,200,red,1,5531.0,124887.0,33,74,31.1,4015.659163987138
EUW1_7088278064,EUW,1724342873559,14.16.609.8277,420,100,blue,1,5480.2,96062.0,30,55,28.45,3376.5202108963094
EUW1_7088278064,EUW,1724342873559,14.16.609.8277,420,200,red,0,4762.6,86769.0,13,49,28.45,3049.8769771529
EUW1_7088370933,EUW,1724347487418,14.16.609.8277,420,100,blue,0,5933.0,115765.0,31,53,31.383333333333333,3688.7413701540095
EUW1_7088370933,EUW,1724347487418,14.16.609.8277,420,200,red,1,5074.8,129320.0,36,69,31.383333333333333,4120.658523632502
EUW1_7088436496,EUW,1724350632150,14.16.609.8277,420,100,blue,1,2072.2,8851.0,4,7,5.85,1512.9914529914531
EUW1_7088436496,EUW,1724350632150,14.16.609.8277,420,200,red,0,1549.4,6418.0,0,8,5.85,1097.094017094017
EUW1_7088451639,EUW,1724351491663,14.16.609.8277,420,100,blue,1,6153.8,147708.0,49,79,34.15,4325.270863836018
EUW1_7088451639,EUW,1724351491663,14.16.609.8277,420,200,red,0,5203.6,134400.0,34,62,34.15,3935.5783308931186
EUW1_7088509970,EUW,1724353993666,14.16.609.8277,420,100,blue,0,5395.6,67965.0,18,45,26.366666666666667,2577.6864728192163
EUW1_7088509970,EUW,1724353993666,14.16.609.8277,420,200,red,1,5689.2,87956.0,28,56,26.366666666666667,3335.8786346396964
EUW1_7088590073,EUW,1724357204831,14.16.609.8277,420,100,blue,0,4641.2,88702.0,16,66,29.3,3027.372013651877
EUW1_7088590073,EUW,1724357204831,14.16.609.8277,420,200,red,1,5101.0,118098.0,29,70,29.3,4030.6484641638226
EUW1_7088634270,EUW,1724359431973,14.16.609.8277,420,100,blue,1,6637.2,46139.0,20,28,15.216666666666665,3032.135815991238
EUW1_7088634270,EUW,1724359431973,14.16.609.8277,420,200,red,0,5300.6,33176.0,11,22,15.216666666666665,2180.240963855422
EUW1_7088726608,EUW,1724363312117,14.16.609.8277,420,100,blue,0,5224.2,72908.0,17,42,25.55,2853.542074363992
EUW1_7088726608,EUW,1724363312117,14.16.609.8277,420,200,red,1,5798.4,80198.0,33,29,25.55,3138.8649706457923
EUW1_7089324796,EUW,1724430022512,14.16.612.449,420,100,blue,0,5244.2,86285.0,22,56,26.95,3201.6697588126162
EUW1_7089324796,EUW,1724430022512,14.16.612.449,420,200,red,1,6702.4,102965.0,43,55,26.95,3820.5936920222634
EUW1_7090465715,EUW,1724521518982,14.16.612.449,420,100,blue,1,5722.2,53327.0,22,42,20.333333333333332,2622.6393442622953
EUW1_7090465715,EUW,1724521518982,14.16.612.449,420,200,red,0,4631.0,35547.0,7,34,20.333333333333332,1748.2131147540986
EUW1_7090482341,EUW,1724523153468,14.16.612.449,420,100,blue,1,5048.0,86829.0,30,48,25.616666666666667,3389.5510735198436
EUW1_7090482341,EUW,1724523153468,14.16.612.449,420,200,red,0,4784.0,60279.0,14,48,25.616666666666667,2353.1164606376055
EUW1_7090725938,EUW,1724535090381,14.16.612.449,420,100,blue,0,5752.8,132185.0,32,94,34.416666666666664,3840.7263922518164
EUW1_7090725938,EUW,1724535090381,14.16.612.449,420,200,red,1,5565.4,140579.0,34,70,34.416666666666664,4084.61985472155
EUW1_7091474198,EUW,1724603043475,14.16.612.449,420,100,blue,1,6379.8,134830.0,46,44,26.7,5049.812734082398
EUW1_7091474198,EUW,1724603043475,14.16.612.449,420,200,red,0,5253.4,123180.0,27,43,26.7,4613.483146067416
EUW1_7095430845,EUW,1724890043951,14.17.613.973,420,100,blue,1,5737.4,132761.0,31,69,32.583333333333336,4074.5063938618923
EUW1_7095430845,EUW,1724890043951,14.17.613.973,420,200,red,0,5114.2,97821.0,30,77,32.583333333333336,3002.1790281329922
EUW1_7096326190,EUW,1724952588561,14.17.613.5100,420,100,blue,0,5145.0,70959.0,15,28,19.866666666666667,3571.761744966443
EUW1_7096326190,EUW,1724952588561,14.17.613.5100,420,200,red,1,6232.6,73095.0,29,29,19.866666666666667,3679.278523489933
EUW1_7096366416,EUW,1724954203016,14.17.613.5100,420,100,blue,0,500.0,118.0,0,2,1.6833333333333331,70.09900990099011
EUW1_7096366416,EUW,1724954203016,14.17.613.5100,420,200,red,1,500.0,254.0,0,1,1.6833333333333331,150.8910891089109
EUW1_7096394717,EUW,1724954875541,14.17.613.5100,420,100,blue,1,6489.6,92563.0,39,45,23.75,3897.3894736842103
EUW1_7096394717,EUW,1724954875541,14.17.613.5100,420,200,red,0,5427.4,65548.0,18,48,23.75,2759.915789473684
EUW1_7103243458,EUW,1725319050251,14.17.614.2229,420,100,blue,1,6719.2,46140.0,26,20,16.333333333333332,2824.8979591836737
EUW1_7103243458,EUW,1725319050251,14.17.614.2229,420,200,red,0,3774.0,21965.0,2,11,16.333333333333332,1344.795918367347
EUW1_7103262462,EUW,1725320760828,14.17.614.2229,420,100,blue,1,5872.2,56590.0,31,30,18.533333333333335,3053.4172661870502
EUW1_7103262462,EUW,1725320760828,14.17.614.2229,420,200,red,0,5166.8,42014.0,9,30,18.533333333333335,2266.942446043165
EUW1_7105949278,EUW,1725494466859,14.17.615.2328,420,100,blue,0,4991.4,83100.0,19,52,24.05,3455.301455301455
EUW1_7105949278,EUW,1725494466859,14.17.615.2328,420,200,red,1,6265.0,95224.0,40,42,24.05,3959.4178794178792
EUW1_7106357171,EUW,1725542495263,14.17.615.2328,420,100,blue,1,6087.0,107646.0,30,66,26.68333333333333,4034.2036227357908
EUW1_7106357171,EUW,1725542495263,14.17.615.2328,420,200,red,0,5189.0,66392.0,18,66,26.68333333333333,2488.1449094316054
EUW1_7106405789,EUW,1725544678863,14.17.615.2328,420,100,blue,0,5533.4,57891.0,16,50,24.0,2412.125
EUW1_7106405789,EUW,1725544678863,14.17.615.2328,420,200,red,1,6006.4,99234.0,31,51,24.0,4134.75
EUW1_7106437435,EUW,1725546693157,14.17.615.2328,420,100,blue,1,5175.4,139861.0,43,59,36.5,3831.8082191780823
EUW1_7106437435,EUW,1725546693157,14.17.615.2328,420,200,red,0,5777.8,171555.0,37,100,36.5,4700.13698630137
EUW1_7106494160,EUW,1725549276699,14.17.615.2328,420,100,blue,0,5317.2,54634.0,17,37,23.066666666666666,2368.526011560694
EUW1_7106494160,EUW,1725549276699,14.17.615.2328,420,200,red,1,6140.8,82955.0,31,42,23.066666666666666,3596.315028901734
EUW1_7106609191,EUW,1725554386012,14.17.615.2328,420,100,blue,0,5165.8,146337.0,41,87,41.016666666666666,3567.7448191791955
EUW1_7106609191,EUW,1725554386012,14.17.615.2328,420,200,red,1,5224.8,175781.0,46,91,41.016666666666666,4285.599349857782
